Fecha,Enfoque,Región,Lenguaje,Base de datos
2016,Investigación,Colombia,Español,Mendeley
2022,Tecnología,Colombia,Español,Mendeley
2020,Investigación,Argentina,Español,Mendeley
2020,Economía,Colombia,Español,Mendeley
2015,Investigación,Uruguay,Español,Mendeley
2020,Tecnología,Colombia,Español,Mendeley
2023,Tecnología,Paraguay,Español,Mendeley
2012,Astrología,Colombia,Español,Redalyc
2019,psicología,Brasil,Español,Redalyc
2017,Tecnología,España,Español,Dialnet
2022,Biomedicina,España,Español,Dialnet
2017,Educación,España,Español,Dialnet
2013,Educación museal,España,Español,Dialnet
2014,Educación,España,Español,Dialnet
2011,Tecnología,España,Español,Dialnet
2013,Evaluación de expertos,Colombia,Español,Google académico
2016,Educación,España,Español,Scielo
2011,Educación,España,Español,Google académico
2015,Evaluación de expertos,México,Español,Google académico
2018,Tecnología,Ecuador,Español,Google académico
2014,Alimentación,México,Español .,Google académico
2021,Evaluación de expertos,Internacional,Español,Mendeley
2021,Tecnología,Internacional,Español,Mendeley
2021,Psicología,Colombia,Español,Mendeley
2013,Agricultura,Cuba,Español,Mendeley
2021,Evaluación de expertos,Cuba,Español,Mendeley
2021,Evaluación de expertos,Cuba,Español,Mendeley
2014,Educación,Venezuela,Español,Redalyc
2013,Tecnología,España,Ingles,Redalyc
2021,Psicología,Brasil,Ingles,Redalyc
2015,Deporte,España,Ingles,Redalyc
2015,Deporte,España,Español,Redalyc
2023,Investigación,Perú,Ingles,Redalyc
2019,Evaluación de artículos,México,Español,Google académico
2011,Evaluación de artículos,Venezuela,Español,Scielo
2012,Investigación,México,Español,Scielo
2021,Investigación,España,Español,Google académico
2021,Investigación,Chile,Español,Scielo
2017,Biomedicina,España,Español,Mendeley
2021,Investigación,España,Español,Mendeley
2022,Ciencia,España,Español,Mendeley
2022,Social,España,Español,Mendeley
2022,Psicología,España,Español,Mendeley
2021,Deporte,España,Español,Mendeley
2027,Evaluación de artículos,España,Español,Dialnet
2017,Educación,Bolivia,Español,Redalyc
2011,Educación,Colombia,Español,Redalyc
2023,Ingeniería industrial,Colombia,español,Google académico
2019,Social,Colombia,español,Google académico
2023,Investigación,Ecuador,español,Google académico
2017,Medicina,España,español,Google académico
2018,Publicidad,España,español,Google académico
2020,Lectura Critica,España,español,Google académico
2019,Tecnología,Colombia,español,Google académico
2011,Social,México,español,Google académico
2021,Turismo,Ecuador,español,Google académico
2023,Economía,Colombia,español,Google académico
2020,Minería,Colombia,español,Google académico
2021,Lectura Critica,Argentina,español,Google académico
2021,Lectura Critica,Argentina,español,Google académico
2021,social,Colombia,español,Google académico
2018,Medicina,España,español,Google académico
2023,Lectura Critica,Colombia,español,Google académico
2023,social,Argentina,español,Google académico
2021,Decisión estratégica,Colombia,español,Google académico
2019,Tecnología,Colombia,español,Google académico
2021,Química,Chile,español,Google académico
2017,Social,España,español,Google académico
2014,Economía,Colombia,español,Google académico
2016,Sistemas analíticos,España,español,Google académico
2021,Gestión de información,México,español,Google académico
2012,Educación,México,español,Google académico
2023,Educación,Ecuador,español,Google académico
2022,agricultura,España,español,Google académico
2022,Lectura critica,Colombia,español,Google académico
2017,Análisis cuantitativo,España,español,Google académico
2022,Lectura critica,España,español,Google académico
2016,Lectura critica,Colombia,español,Google académico
2016,Social,España,español,Google académico
2023,Social,Brasil,portugués,Scielo
2019,Educación,Argentina,español,Google académico
2016,Educación,Colombia,español,Google académico
2014,Crítica,México,español,Mendeley
2014,Filosofía,España,español,Mendeley
2021,Filosofía,Argentina,español,Mendeley
2022,Investigación,Colombia,español,Mendeley
2022,Educación,Cuba,español,Scielo
2010,Educación,México,español,Google académico
2023,Educativo,Perú,español,Mendeley
2018,Filosofía,Colombia,español,Mendeley
2022,Educación,Venezuela,español,Mendeley
2013,Filosofía,Argentina,español,Google académico
2021,Investigación,Argentina,español,Mendeley
2020,Filosofía,Colombia,español,Mendeley
2019,Educación,España,español,Google académico
2022,Educación,Venezuela,español,Scielo
2022,Educación,Chile,español,Scielo
2021,Social,Chile,español,Scielo
2021,Medico,Cuba,español,Scielo

